Yield,Latitude,Longitude,TimeStamp
249.6109334,399.245991,264.9795061,11/2/2018 17:15
257.6664544,397.4477506,265.0272602,11/2/2018 17:15
259.591959,395.7073468,265.0585436,11/2/2018 17:15
253.4786819,393.9365318,265.0587647,11/2/2018 17:15
243.995155,392.1894928,265.0902691,11/2/2018 17:15
248.2996071,390.4361504,265.1194522,11/2/2018 17:15
241.1669247,388.696189,265.16389,11/2/2018 17:15
245.4023765,386.9292445,265.1536096,11/2/2018 17:15
240.8737022,385.1693775,265.2347474,11/2/2018 17:15
262.6431136,383.4301901,265.2556398,11/2/2018 17:15
238.2491415,381.6629139,265.2484546,11/2/2018 17:15
245.5177416,379.8959694,265.2452488,11/2/2018 17:15
244.6351207,378.1367659,265.239169,11/2/2018 17:15
260.6159276,376.3440549,265.2652569,11/2/2018 17:15
230.5110244,374.5285631,265.2725527,11/2/2018 17:15
252.1043299,372.7328663,265.3267182,11/2/2018 17:15
258.8316657,370.9313083,265.3109107,11/2/2018 17:15
233.5941065,369.1274281,265.3321348,11/2/2018 17:15
245.2737241,367.3200091,265.3325769,11/2/2018 17:15
233.9747052,365.5172347,265.3363354,11/2/2018 17:15
244.8948208,363.7339235,265.3530272,11/2/2018 17:16
237.6762803,361.9251775,265.3818786,11/2/2018 17:16
251.0569011,360.113335,265.4316225,11/2/2018 17:16
252.2182206,358.3103395,265.4587053,11/2/2018 17:16
250.5848846,356.4931889,265.4773868,11/2/2018 17:16
245.6228868,354.6783607,265.5031431,11/2/2018 17:16
249.0061266,352.8639747,265.5056856,11/2/2018 17:16
256.726668,351.0519111,265.5311102,11/2/2018 17:16
263.3925813,349.250132,265.5606249,11/2/2018 17:16
247.6505867,347.4241346,265.6212019,11/2/2018 17:16
257.5211631,345.5554509,265.6670768,11/2/2018 17:16
244.2389231,343.6883154,265.6684033,11/2/2018 17:16
244.1456561,341.814213,265.7303067,11/2/2018 17:16
235.504515,339.9513904,265.7266588,11/2/2018 17:16
250.2601685,338.0739704,265.727101,11/2/2018 17:16
239.8873098,336.1924587,265.7593792,11/2/2018 17:16
254.6974308,334.3043119,265.7691069,11/2/2018 17:16
238.577017,332.4216944,265.7748551,11/2/2018 17:16
255.5897773,330.5590929,265.8000587,11/2/2018 17:16
258.5090831,328.6917363,265.8010535,11/2/2018 17:16
250.495797,326.8194033,265.8149818,11/2/2018 17:16
258.121785,324.9451903,265.8307893,11/2/2018 17:16
246.6570391,323.065448,265.8756693,11/2/2018 17:16
251.8130708,321.1972066,265.9199966,11/2/2018 17:16
248.9682717,319.3437838,265.9018677,11/2/2018 17:16
247.2018859,317.5123677,265.95537,11/2/2018 17:16
247.2021244,315.6708882,265.9705143,11/2/2018 17:16
247.2018859,313.8395826,265.9826739,11/2/2018 17:16
247.5384115,312.0127004,266.0247903,11/2/2018 17:16
256.1747448,310.1882512,266.0723234,11/2/2018 17:16
255.8195345,308.3782887,266.1017275,11/2/2018 17:16
255.5897773,306.5251977,266.0831565,11/2/2018 17:16
248.9590954,304.6573987,266.0824932,11/2/2018 17:16
266.2945021,302.80287,266.0604953,11/2/2018 17:16
256.9141069,300.9453555,266.0943212,11/2/2018 17:16
263.6233353,299.1016643,266.1168717,11/2/2018 17:16
240.6914607,297.2431545,266.1258256,11/2/2018 17:16
245.8560727,295.4169359,266.1104603,11/2/2018 17:16
223.6643298,293.575014,266.1205196,11/2/2018 17:16
254.5251831,291.7265676,266.1133344,11/2/2018 17:16
258.022767,289.8932715,266.1362166,11/2/2018 17:16
242.3790755,288.0616341,266.1708162,11/2/2018 17:16
247.6460854,286.2167265,266.1938089,11/2/2018 17:16
239.123031,284.3403018,266.2212233,11/2/2018 17:16
243.9447453,282.4535925,266.2165805,11/2/2018 17:16
239.8481046,280.5844665,266.2265293,11/2/2018 17:16
236.6647754,278.7154511,266.2426684,11/2/2018 17:16
239.778107,276.8361511,266.2732885,11/2/2018 17:16
245.2481308,274.9495525,266.3408296,11/2/2018 17:16
240.1804624,273.0512317,266.3578531,11/2/2018 17:16
248.2837991,271.1534639,266.3705654,11/2/2018 17:16
229.616172,269.259456,266.3733289,11/2/2018 17:16
239.556324,267.3782761,266.3914578,11/2/2018 17:16
230.5268286,265.503289,266.3842726,11/2/2018 17:16
255.5976688,263.6409087,266.4538035,11/2/2018 17:16
245.7604701,261.7574065,266.4532507,11/2/2018 17:16
249.3475653,259.8794336,266.4930458,11/2/2018 17:16
233.9858954,258.0189333,266.4928247,11/2/2018 17:16
243.0377262,256.1422874,266.4821022,11/2/2018 17:16
222.6604667,254.2822294,266.4787859,11/2/2018 17:17
262.7724927,252.438317,266.5311828,11/2/2018 17:17
259.5988347,250.605795,266.5624662,11/2/2018 17:17
262.9513695,248.7757059,266.5774999,11/2/2018 17:17
273.9376918,246.9268171,266.5957393,11/2/2018 17:17
259.8223177,245.0989397,266.5971763,11/2/2018 17:17
255.2570948,243.2424205,266.601598,11/2/2018 17:17
248.5272777,241.3663275,266.6099992,11/2/2018 17:17
239.1735513,239.4860323,266.6508997,11/2/2018 17:17
237.9127203,237.5950102,266.6803038,11/2/2018 17:17
250.6792071,235.7117292,266.682183,11/2/2018 17:17
249.3646525,233.8159519,266.7405492,11/2/2018 17:17
225.6873912,231.9203958,266.7890771,11/2/2018 17:17
226.8771284,230.0295949,266.8610398,11/2/2018 17:17
217.615664,228.1345917,266.9282493,11/2/2018 17:17
215.5707875,226.2349439,266.990816,11/2/2018 17:17
200.6465107,224.3675873,266.9656125,11/2/2018 17:17
216.8623251,222.4721418,266.9542266,11/2/2018 17:17
229.4934831,220.5978182,266.8905545,11/2/2018 17:17
248.190862,218.7104455,266.8752997,11/2/2018 17:17
248.4921259,216.8071483,266.8835904,11/2/2018 17:17
261.2302614,215.0369968,266.8879015,11/2/2018 17:17
234.2201974,213.3810808,266.8975187,11/2/2018 17:17
263.2102325,211.7450702,266.9198481,11/2/2018 17:17
238.0790504,210.1263111,266.9457149,11/2/2018 17:17
